keyword,review,sentiment
운동,운동 기록하는 기록하기 버튼 터치 안됌 식단 기록할때도 터치 됐다 안됐다 함,neutral
운동,운동 기록하기가 갑자기 안됩니다,neutral
운동,운동기록하기 버튼이 아예 눌리지않으며 기록안됨,neutral
운동,"인아웃 너무 좋아요 다이어트를 이렇게 재밌게 할 수 있나? 싶을 정도로 도움 많이 됐어요 만들어주셔서 감사합니다.다이어트 고민 커뮤에서 나누는 거랑 피드 올리는 거, 그룹이랑 1:1 배틀로 다이어트 하는 사람들 기록 참고하면서 기록하는 거 다 너무 재밌고 그냥 좋아요 다!!!!! 그치만 애플워치로 운동 인증 사진 가끔 찍는데 운동 기록할 때 사진도 같이 넣고 싶어여 ㅠㅠ 그것빼곤 다 좋아요 62kg부터 다이어트 시작했는데 인아웃은 57? 56부터 열심히 했거든요. 현재 49까지 인아웃 없었으면 진심 살 못 뺐을 거예요 진짜로. 사랑합니다 제 목표인 45까지 함께해주세요 인아웃!!!!!! 🩷🩷🩷🩷🩷",positive
운동,앱 완벽한데 갑자기 운동 등록하기 버튼이 안 눌리네요ㅠ 수정해주세요,neutral
운동,이틀전부터 운동기록이 안됩니다 개선 부탁드려요,neutral
운동,어제부터 운동 시간 기록이 안됩니다 ㅠ 왜이러는걸까요……….. 다른 건 다 되는데 기록하기 자체가 안눌리네요,neutral
운동,들어가자마자 나오는 첫 화면안에  식단 몸무게 운동을 다 기록하고 볼 수 있으면 좋겠어요.  몸무게 기록 하려면 쭉 내려야하고 한눈에 보이지 않아서 그 부분이 조금 아쉬워요 😭😭😭😭😭😭😭 이 앱이 디자인도 그렇고 기능들도 다이어트 기록에 정말 최적화된 앱이에요!!! 다른 앱들도 많이 써봤는데 이게 제일 좋아서 다이어트 결심할 때마다 이걸루 해요!!,neutral
로그인,로그인도 안돼요..,negative
로그인,앱을 삭제하고 다시 깔았을때는 로그인이 잘 되는데 컬리앱으로 간편로그인-허용하기 눌렀는데 로그인이 실패했습니다..라고 떠요..컬리 아이디로 로그인하려고 해도 안되고...자꾸 지웠다 깔기도 그렇고...잘 사용해볼려고 했는데..아쉽..,neutral
로그인,네이버 로그인 자동로그인 들어갈때마다 로그아웃 되어있네요  진짜 귀찮고 물건사기 싫어져요,negative
로그인,예전에 한참 할인 많이해서 사먹었는데 진짜 행사할때마다 어플 개느려서 계속 튕기고 로그인 계속 풀리고 이래서 그리팅 쓰다가 접었는데 여전히 그러네? 여긴 앱후기 안보나... 돈좀 써서 제대로된 개발자 뽑으세요 제발,neutral
로그인,sns로 가입했는데 로그인이 안돼요. 답답,negative
로그인,전부터 어플에서 카카오로그인버튼이 가끔씩 안눌림 눌러도 무반응 그리고 어제 주문하는데  로그인하고 장바구니에 이것저것 넣고 결제하기누르면 로그아웃됨ㅋㅋㅋㅋㅋ 시간이 너무 길었나 해서 다시했는데 또 로그아웃.. 화딱지나서 안시키려다 세번째만에 주문됨.. 다른후기봐도 앱 개선이 필요해보여요,neutral
로그인,진짜 어지간히 융통성도 없고.  장사 하려면 잘 좀 만들어주세요  재입고알림도 폰 앱에서만 되면서 카카오로 가입한 나는 폰으로 로그인을 못해서 짜증나네,negative
로그인,자동 로그인 설정을 해놔도 매번 풀리네요 ㅠㅠ 이거 보완되면 너무너무 감사하겠습니다.,positive
로그인,"안녕하세요 서비스 잘 사용하고 있는데요. 자동로그인을 하고 탐색하다가, 어플 나갔다가 들어오면 자꾸로그인이 풀려있네요.  주문배송현황 확인할 때 불편한데, 개선부탁드립니다. 제 계정으로 재현해봐주시면 좋을 것 같아요.",negative
로그인,"진짜 참다참다 ... 너무한 거 아닌가요  대기업에서 만든 앱이 진짜 너무 할 정도네요 자동로그인 매번 풀리는 건 이미 많은 분들이 적어주셨고, 비번 맞는데 계속 틀리다고 나와서 앱 껐다가 키면 또 로그인 되어 있고.. 진짜 응대도 친절하고 가격도 좋은데 2020년대에 이런 앱은 처음 봤습니다..",neutral
식단,"광고도 없고 식단 기록등을 너무 편하게 할 수 있어서 좋은 것 같아요, 다이어트 하면 늘 골칫거리가 식단 인데 매주 새로운 식단을 추천해주니까 진짜 편합니다 UI 도 깔끔하고 직관적인게 장점 그리고 가능하면 식단을 공유할 수 있는 기능도 있으면 좋을 것 같습니다",positive
식단,"제가 원했던 어플이 바로 이런거였는데!!! 식단 기록에다가 맞춤 추천 식단까지,,, 귀차니즘 미쳐버리 저같은 다이어터에게 너무나 편한 앱 인것 같아요🥹앞으로도 잘 쓰겠습니다!!",neutral
