작성자,댓글,좋아요수,작성일
@Park-YoungJin,"사람을 사람으로 안 보는 사람에게 뭔 철학을 얘기하나
새벽 배송이란 것은 사람을 사람으로 본다면 생각이 들더라도 바로 접어 버려야 되는 것이다

이렇게 말하면 누군간 새벽 경매 시장, 도매 시장 얘길 하겠지
그것과 이건 질적, 양적으로 다르다

사회를 지옥으로 만드는 것과
그 사회의 속을 비춰 인간이 어떻게 영위하는 것인지 알게 되는 차이랄까

참담한 거지
김범석이나 여기나 마찬가지다
돼먹지 않은 자들에게 투자하는 자들도 마찬가지고

경제 이야기를 하고 싶으면 사람 얘기부터 해야 된다

한국은 기본이 안 돼 있어 기본이

=======

여러분이 근사하게 생각하는 나라 중에 새벽 배송 하는 나라 있던가

대댓글 달아보라",0,2025-04-30T14:18:35Z
@오아시스-l9u,가입후 아무리 비번찾으려해도 못찾았다 멍충이 회사다,0,2025-04-29T08:35:48Z
@오아시스-l9u,가입이어려워 나도 포기했다 멍충이들이다 꾸팡을 봐라,0,2025-04-29T08:35:16Z
@이정훈-f7g2e,애국하려면 컬리써야하는데,0,2025-04-28T08:53:51Z
@큰그림촬영팀,"이럴줄알았음

CS가........
너무 허접해....연락도없이 오후1시에..배송해주고 냉동냉장 다 상하고 녹아없어졌는데 삼천원 쿠폰.? 받으실? 안받으실람 말구.우린 모르겠음. 헐ㄹㄹㄹㄹㄹ어이없었어..
초심을 잃지 말자 컬리..",0,2025-04-27T12:38:12Z
@JangJang-11085,1710,0,2025-04-26T17:48:40Z
@JangJang-11085,1710,0,2025-04-26T17:47:53Z
@사슴처자,뷰티컬리는 폐기하고 다시 예전으로!,1,2025-04-26T10:45:12Z
@bne1920,쿠팡에 팔리겠지..,1,2025-04-23T21:54:15Z
@nomuralee8060,"어찌되었던 사업초기의 장점이 다른경쟁사에 의해 희석되어버린것은 사실임
컬리만의 아이덴티티를 다시 찾아내지 못하면 앞으로 가시밭길이 될것이고 제일 중요한 문제는 매출만 있고 수익개선을 어떻게 해결할것인가임 ->수익이 없는데 투자자들 빚으로만 더이상 버티기 힘든상황이 아닌가함
가치가 낮게평가되었어도 3~4년전 상장을 추진했어야 했고 개인적으로도 엑시트했어야 한다고보여지고
 물론 내부적 반발도 있었겠자만 그부분이 조금 안타깝다고 보여집니다 현재는 상장은 고사하고 유지도 힘든타이밍이 아닐지",0,2025-04-23T12:22:54Z
