작성자,댓글,좋아요수,작성일
@김인숙-x5p,"대전사는 중1 손주가 방학때 와서 게임하면서  계속 래퍼같이 혼잣말하는데 앗, 똑 같은 말투, 속도, 억양?! 푸디젠! 손주에게 보여주니 음ᆢ좀 비슷하넹~~^^
저는 김해에 사는 74세 왕팬입니다~~❤❤",0,2025-07-11T00:12:20Z
@김인숙-x5p,레이스양말 이뽀❤,0,2025-07-11T00:02:52Z
@조현주하나님사랑,갑자기 말🎉투에 팬됬어요,0,2025-07-10T02:25:52Z
@CH-ht3xf,와! 뚝딱뚝딱 잘하신다😊🎉👍,0,2025-07-09T17:07:48Z
@puckjiya,"자꾸 보게 되는 푸드젠님 영상들.
하루에 하나씩 계속 보고 있는 중독성❤",0,2025-06-30T01:13:25Z
@Boxerkim,햇반 어디 제품 인가요 !?,0,2025-06-29T20:06:19Z
@짱-e1y,"일도 살림도 요리도 잘하니
남편분 복 받으셨네",0,2025-06-27T07:52:41Z
@cecita1213,계란 껍질 어디로 집어 던지시는걸까요? 비닐봉지 도시락 가방 😂,0,2025-06-27T03:09:55Z
@모닝-o5j,내사랑 고래밥 점심으로 먹을 생각은 못했네요 ㅎㅎ,0,2025-06-27T00:16:11Z
@eunjung180,"진짜 이 언니
너무 매력있어!",0,2025-06-26T09:50:48Z
@dongjoor,"때려넣어요 ㅋ
털털한 모습이 인상적이에요.
마지막 다른떠는거 완전 웃김 ㅋ",0,2025-06-24T13:39:38Z
@저여푸,졸라쿨해이언니…❤,0,2025-06-23T15:19:08Z
@kellyko9672,계란은 항상 어디로 던지는건가요 ㅋㅋ 😂,0,2025-06-23T09:17:40Z
@차차콩콩,마지막에 봉지에 싸가는거 실화임?ㅎㅎㅎ,0,2025-06-22T00:21:39Z
@장미꽃놀이터-x6s,부지런 부지런😊,0,2025-06-21T16:29:42Z
@user-testchannel1,한숨소리 진짜 빡침이 느껴져요ㅋㅋ,0,2025-06-21T15:11:21Z
@toffeelatte5060,아이디어 좋아요! 왜 난 점심으로 주먹밥 생각을 못했지….평생…바보.,0,2025-06-20T21:48:27Z
@50-diet,멋져요❤,0,2025-06-20T15:10:03Z
@미소진-e6h,"이블 너무 재밌어 
진심의 다리떨기 ㅋ",0,2025-06-20T07:53:28Z
